source,target,value
1,ACC,6
1,Big 12,1
1,Big Ten,4
1,Other,7
1,Pac12,4
1,SEC,10
2,ACC,4
2,Big 12,2
2,Big Ten,5
2,Other,7
2,Pac12,4
2,SEC,10
3,ACC,7
3,Big 12,5
3,Big Ten,3
3,Other,11
3,Pac12,4
3,SEC,6
4,ACC,9
4,Big 12,3
4,Big Ten,7
4,Other,8
4,Pac12,4
4,SEC,6
5,ACC,6
5,Big 12,4
5,Big Ten,7
5,Other,11
5,Pac12,5
5,SEC,4
6,ACC,6
6,Big 12,3
6,Big Ten,5
6,Other,15
6,Pac12,7
6,SEC,8
7,ACC,7
7,Big 12,2
7,Big Ten,2
7,Other,16
7,Pac12,2
7,SEC,9
ACC,AFC East,7
ACC,AFC North,8
ACC,AFC South,6
ACC,AFC West,6
ACC,NFC East,7
ACC,NFC North,2
ACC,NFC South,6
ACC,NFC West,3
Big 12,AFC North,7
Big 12,AFC South,1
Big 12,AFC West,3
Big 12,NFC East,3
Big 12,NFC West,6
Big Ten,AFC East,3
Big Ten,AFC North,4
Big Ten,AFC South,4
Big Ten,AFC West,6
Big Ten,NFC East,3
Big Ten,NFC North,3
Big Ten,NFC South,5
Big Ten,NFC West,5
Other,AFC East,12
Other,AFC North,10
Other,AFC South,6
Other,AFC West,4
Other,NFC East,9
Other,NFC North,12
Other,NFC South,8
Other,NFC West,14
Pac12,AFC East,4
Pac12,AFC North,2
Pac12,AFC South,4
Pac12,AFC West,7
Pac12,NFC East,1
Pac12,NFC North,5
Pac12,NFC South,3
Pac12,NFC West,4
SEC,AFC East,5
SEC,AFC North,8
SEC,AFC South,9
SEC,AFC West,6
SEC,NFC East,5
SEC,NFC North,10
SEC,NFC South,7
SEC,NFC West,3
