source,target,value
1,ACC,3
1,Big 12,8
1,Big Ten,6
1,Other,2
1,Pac12,3
1,SEC,10
2,ACC,12
2,Big 12,2
2,Big Ten,4
2,Other,7
2,Pac12,5
2,SEC,2
3,ACC,4
3,Big 12,2
3,Big Ten,2
3,Other,12
3,Pac12,5
3,SEC,8
4,ACC,5
4,Big 12,6
4,Big Ten,4
4,Other,12
4,Pac12,3
4,SEC,4
5,ACC,2
5,Big 12,3
5,Big Ten,4
5,Other,18
5,Pac12,3
5,SEC,4
6,ACC,5
6,Big 12,1
6,Big Ten,7
6,Other,15
6,Pac12,7
6,SEC,3
7,ACC,4
7,Big 12,8
7,Big Ten,2
7,Other,25
7,Pac12,5
7,SEC,7
ACC,AFC East,4
ACC,AFC North,4
ACC,AFC South,6
ACC,AFC West,7
ACC,NFC East,6
ACC,NFC North,2
ACC,NFC South,2
ACC,NFC West,4
Big 12,AFC East,4
Big 12,AFC North,8
Big 12,AFC South,1
Big 12,AFC West,5
Big 12,NFC East,7
Big 12,NFC West,5
Big Ten,AFC North,2
Big Ten,AFC South,3
Big Ten,AFC West,6
Big Ten,NFC East,8
Big Ten,NFC North,4
Big Ten,NFC South,3
Big Ten,NFC West,3
Other,AFC East,14
Other,AFC North,10
Other,AFC South,11
Other,AFC West,7
Other,NFC East,13
Other,NFC North,14
Other,NFC South,9
Other,NFC West,13
Pac12,AFC East,1
Pac12,AFC North,3
Pac12,AFC South,4
Pac12,AFC West,5
Pac12,NFC East,3
Pac12,NFC North,5
Pac12,NFC South,6
Pac12,NFC West,4
SEC,AFC East,7
SEC,AFC North,4
SEC,AFC South,2
SEC,AFC West,4
SEC,NFC East,2
SEC,NFC North,5
SEC,NFC South,8
SEC,NFC West,6
