source,target,value
1,ACC,7
1,Big 12,3
1,Big Ten,7
1,Other,3
1,Pac12,3
1,SEC,9
2,ACC,2
2,Big 12,3
2,Big Ten,2
2,Other,7
2,Pac12,5
2,SEC,13
3,ACC,3
3,Big 12,5
3,Big Ten,7
3,Other,14
3,Pac12,3
3,SEC,6
4,ACC,4
4,Big 12,6
4,Big Ten,7
4,Other,6
4,Pac12,6
4,SEC,7
5,ACC,5
5,Big 12,2
5,Big Ten,8
5,Other,3
5,Pac12,7
5,SEC,10
6,ACC,5
6,Big 12,3
6,Big Ten,5
6,Other,15
6,Pac12,3
6,SEC,10
7,ACC,2
7,Big 12,4
7,Big Ten,4
7,Other,15
7,Pac12,6
7,SEC,9
ACC,AFC East,3
ACC,AFC North,3
ACC,AFC West,4
ACC,NFC East,7
ACC,NFC North,3
ACC,NFC South,3
ACC,NFC West,5
Big 12,AFC East,3
Big 12,AFC North,5
Big 12,AFC South,3
Big 12,AFC West,1
Big 12,NFC East,1
Big 12,NFC North,5
Big 12,NFC South,1
Big 12,NFC West,7
Big Ten,AFC East,7
Big Ten,AFC North,6
Big Ten,AFC South,3
Big Ten,AFC West,3
Big Ten,NFC East,9
Big Ten,NFC North,5
Big Ten,NFC South,3
Big Ten,NFC West,4
Other,AFC East,3
Other,AFC North,9
Other,AFC South,10
Other,AFC West,12
Other,NFC East,6
Other,NFC North,11
Other,NFC South,6
Other,NFC West,6
Pac12,AFC East,4
Pac12,AFC North,3
Pac12,AFC South,4
Pac12,AFC West,2
Pac12,NFC East,4
Pac12,NFC North,3
Pac12,NFC South,3
Pac12,NFC West,10
SEC,AFC East,10
SEC,AFC North,8
SEC,AFC South,10
SEC,AFC West,6
SEC,NFC East,6
SEC,NFC North,7
SEC,NFC South,11
SEC,NFC West,6
